0,5.65,0.15,0.2,0.3,1,1.65,1.3,0.35,48.849,48.84,48.84,48.837,48.834,48.841,48.838,48.84,56.5,1.5,2,3,10,16.5,13,3.5,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,1,0,0,0,0,121,100,0,1
600,5.65,0.15,0.2,0.3,1,1.65,1.3,0.35,48.849,48.84,48.84,48.837,48.834,48.841,48.838,48.84,56.5,1.5,2,3,10,16.5,13,3.5,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,1,0,0,0,0,121,100,0,1
1200,5.65,0.15,0.2,0.3,1,1.65,1.3,0.35,48.849,48.84,48.84,48.837,48.834,48.841,48.838,48.84,56.5,1.5,2,3,10,16.5,13,3.5,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,1,0,0,0,0,121,100,0,1
1800,5.65,0.15,0.2,0.3,1,1.65,1.3,0.35,48.849,48.84,48.84,48.837,48.834,48.841,48.838,48.84,56.5,1.5,2,3,10,16.5,13,3.5,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,1,0,0,0,0,121,100,0,1
2400,5.65,0.15,0.2,0.3,1,1.65,1.3,0.35,48.849,48.84,48.84,48.837,48.834,48.841,48.838,48.84,56.5,1.5,2,3,10,16.5,13,3.5,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,1,0,0,0,0,121,100,0,1
3000,5.65,0.15,0.2,0.3,1,1.65,1.3,0.35,48.849,48.84,48.84,48.837,48.834,48.841,48.838,48.84,56.5,1.5,2,3,10,16.5,13,3.5,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,1,0,0,0,0,121,100,0,1
3600,5.5231,0.15,0.2,0.31995,0.8532,1.5231,1.1732,0.35,46.722,46.714,46.714,46.712,46.71,46.715,46.712,46.714,55.231,1.5,2,3.1995,8.532,15.231,11.732,3.5,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,1,0,0,0,0,121,100,0,1
4200,5.5231,0.15,0.2,0.31995,0.8532,1.5231,1.1732,0.35,46.722,46.714,46.714,46.712,46.71,46.715,46.712,46.714,55.231,1.5,2,3.1995,8.532,15.231,11.732,3.5,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,1,0,0,0,0,121,100,0,1
4800,5.5231,0.15,0.2,0.31995,0.8532,1.5231,1.1732,0.35,46.722,46.714,46.714,46.712,46.71,46.715,46.712,46.714,55.231,1.5,2,3.1995,8.532,15.231,11.732,3.5,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,1,0,0,0,0,121,100,0,1
5400,5.5231,0.15,0.2,0.31995,0.8532,1.5231,1.1732,0.35,46.722,46.714,46.714,46.712,46.71,46.715,46.712,46.714,55.231,1.5,2,3.1995,8.532,15.231,11.732,3.5,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,1,0,0,0,0,121,100,0,1
